code,nom,departement,tube,couleur_tube,delai,jeune,remarques
CP II,C-propeptide du Procollagène de Type II,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709388/c-propeptide-du-procollagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CKL,Créatine kinase (LCR),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496847/creatine-kinase-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CKX,Créatine kinase (LPO),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496850/creatine-kinase-lpo | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CK,Créatine kinase (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_481327/creatine-kinase-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CRX,Créatinine (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716396/creatinine-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CR,Créatinine (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498839/creatinine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CRU,Créatinine (Urines),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498853/creatinine-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C25_R,CA125 sur Cobas e402 (Pure),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087214/ca125-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage
CTXS_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_393709/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage
C19,Ca19.9 sur Cobas e402 (Pure),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087226/ca19-9-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage
CAMC,Complexe d'attaque membranaire (SC5b9),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1917300/complexe-d-attaque-membranaire-sc5b9 | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité
TCQ,Complexes Immuns Circulants à IgG (C1q) - (Test au C1q),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351896/complexes-immuns-circulants-a-igg-c1q-test-au-c1q | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité
CRIX,Cristaux Liquide ponction,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_20346626/cristaux-liquide-ponction | discipline: Biologie Clinique > Chimie Clinique > Lithiases-Cristallurie
ANO,"Catécholamines plasmatiques (Noradrénaline, Adrénaline, Dopamine)",Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351943/catecholamines-plasmatiques-noradrenaline-adrenaline-dopamine | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
UAN,Catécholamines urinaires,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351641/catecholamines-urinaires | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
CORHMS,Cortisol,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_28297464/cortisol | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
CORS,Cortisol (Salive),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_4621082/cortisol-salive | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
