code,nom,nom_patient,departement,echantillon,tube,couleur_tube,volume,jeune,conditions,conservation,delai,methode,valeurs_ref,interet,remarques,photo
CEAX,CEA (Liquides de ponction),CEA (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21823960/cea-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CEA,CEA (Sang),CEA (Sang),Hormonologie,Sang,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351706/cea-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CRPS,CRP Ultrasensible (Sang),CRP Ultrasensible (Sang),Hormonologie,Sang,,,,Non,,,,Turbidimétrique/immunoturbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_642189/crp-ultrasensible-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CAX,Calcium (Liquides de ponction),Calcium (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Méthode Arsenazo III avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716510/calcium-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CA,Calcium (Sang),Calcium (Sang),Hormonologie,Sang,,,,Non,,,,Méthode Arsenazo III avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498470/calcium-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CAU,Calcium (Urines),Calcium (Urines),Hormonologie,Urines > 24H / Urines,,,,Non,,,,Méthode Arsenazo III avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498478/calcium-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
TRF_CAP,Capacité de fixation de la Transferrine (Sang),Capacité de fixation de la Transferrine (Sang),Hormonologie,Sang,,,,Non,,,,Calcul,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498827/capacite-de-fixation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CLL,Chlorures (LCR),Chlorures (LCR),Hormonologie,Liquides biologiques > LCR,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498674/chlorures-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CLX,Chlorures (Liquide de ponction),Chlorures (Liquide de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498677/chlorures-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CL,Chlorures (Sang),Chlorures (Sang),Hormonologie,Sang,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498669/chlorures-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CLU,Chlorures (Urines),Chlorures (Urines),Hormonologie,Urines > 24H / Urines,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498671/chlorures-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
HDL,Cholestérol HDL (Sang),Cholestérol HDL (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496965/cholesterol-hdl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
LDL,Cholestérol LDL (Sang),Cholestérol LDL (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496960/cholesterol-ldl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CHTX,Cholestérol total (Liquides de ponction),Cholestérol total (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Méthode enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716505/cholesterol-total-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CHT,Cholestérol total (Sang),Cholestérol total (Sang),Hormonologie,Sang,,,,Non,,,,Méthode enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496853/cholesterol-total-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CHE,Cholinestérases (Sang),Cholinestérases (Sang),Hormonologie,Sang,,,,Non,,,,Colorimétrique cinétique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498493/cholinesterases-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C3X,Complément C3 (Liquides de ponction),Complément C3 (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23659689/complement-c3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C3,Complément C3 (Sang),Complément C3 (Sang),Hormonologie,Sang,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939841/complement-c3-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C4X,Complément C4 (Liquide de ponction),Complément C4 (Liquide de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23532686/complement-c4-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C4,Complément C4 (Sang),Complément C4 (Sang),Hormonologie,Sang,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939834/complement-c4-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
COR,Cortisol,Cortisol,Hormonologie,Sang > Plasma hépariné / Sang > Sérum,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351695/cortisol | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
TRF_COEF,Coéfficient de saturation de la transferrine (Sang),Coéfficient de saturation de la transferrine (Sang),Hormonologie,Sang,,,,Non,,,,Calcul,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1851266/coefficient-de-saturation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CKL,Créatine kinase (LCR),Créatine kinase (LCR),Hormonologie,Liquides biologiques > LCR,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496847/creatine-kinase-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CKX,Créatine kinase (LPO),Créatine kinase (LPO),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496850/creatine-kinase-lpo | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CK,Créatine kinase (Sang),Créatine kinase (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_481327/creatine-kinase-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CRX,Créatinine (Liquides de ponction),Créatinine (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716396/creatinine-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CR,Créatinine (Sang),Créatinine (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498839/creatinine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CRU,Créatinine (Urines),Créatinine (Urines),Hormonologie,Urines,,,,Non,,,,Méthode enzymatique sur Alinity C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498853/creatinine-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
